Bahan,Lanmadaw,Yankin,South Oakklar,Hlaing,Sanchoung,Condo name,Total_Area_squft,Bedrooms,Bathrooms,Swimming Pool,Security,Gym,Has_Elevator,Has_Parking,View_type, Price_USD 
0,0,0,0,1,0,Ngwe Aein San,1351,2,1,0,0,0,1,1,City View,"$11,333.33 "
0,0,0,0,1,0,Ngwe Aein San,859,4,2,0,1,0,1,1,Street View,"$18,000.00 "
0,0,0,0,1,0,Ngwe Aein San,1170,3,1,0,1,0,1,1,Garden View,"$2,444.44 "
0,0,0,0,1,0,Ngwe Aein San,980,3,1,0,0,0,1,1,City View,"$13,555.56 "
0,0,0,0,1,0,Ngwe Aein San tawin ,9500,2,2,1,0,1,1,1,City View,"$214,444.44 "
0,0,0,0,1,0,Parami Valley,980,2,1,0,1,0,1,1,City View,"$2,666.67 "
0,0,0,0,1,0,Parami Valley,1150,3,2,1,0,1,0,1,Lake View,"$12,222.22 "
0,0,0,0,1,0,Parami Valley,1030,3,1,0,1,0,1,0,Garden View,"$7,777.78 "
0,0,0,0,1,0,Parami Valley,1200,4,1,0,0,1,1,1,Street View,"$11,111.11 "
0,0,0,0,1,0,Parami Valley,870,2,1,0,0,0,1,1,City View,"$266,666.67 "
0,0,0,0,1,0,Parami Valley,1100,3,1,1,0,0,1,1,Garden View,"$10,000.00 "
0,0,0,0,1,0,Parami Valley,950,2,1,0,1,0,1,1,Lake View,"$4,888.89 "
0,0,0,0,1,0,Parami Valley,1050,3,1,0,0,1,1,1,City View,"$10,666.67 "
0,0,0,0,1,0,Parami Valley,980,2,1,0,1,0,1,1,Street View,"$6,666.67 "
0,0,0,0,1,0,Parami Valley,1155,3,2,0,0,1,1,1,Garden View,"$13,333.33 "
0,0,0,0,1,0,parami valley residence,1216,3,2,1,1,1,1,1,City View,"$1,444,444.44 "
0,0,0,0,1,0,Royal Thukha,970,2,2,0,0,0,1,1,City View,"$80,000.00 "
0,0,0,0,1,0,Royal Thukha,1164,4,1,1,0,0,0,1,City View,"$12,000.00 "
0,0,0,0,1,0,Royal Thukha,1176,2,1,0,0,0,1,1,City View,"$3,777.78 "
0,0,0,0,1,0,Royal Thukha,951,3,2,0,0,1,0,1,City View,"$15,111.11 "
0,0,0,0,1,0,Royal Thukha,1375,2,2,1,1,0,1,1,Garden View,"$20,222.22 "
0,0,0,0,1,0,Royal Thukha,1205,4,2,0,0,1,1,1,Lake View,"$5,777.78 "
0,0,0,0,1,0,Royal Thukha,1120,2,2,0,0,1,1,1,Garden View,"$14,444.44 "
0,0,0,0,1,0,Royal Thukha,1225,3,2,0,1,1,1,0,Garden View,"$18,222.22 "
0,0,0,0,1,0,The leaf condo,1725,4,3,0,0,0,1,1,City View,"$21,111.11 "
0,0,0,0,1,0,The leaf condo,1725,4,4,1,0,1,1,1,City View,"$53,333.33 "
0,0,0,0,1,0,The leaf condo,1140,3,2,1,1,1,0,1,Shwe Dagon Pagoda View,"$5,111.11 "
0,0,0,0,1,0,The leaf condo,2400,3,2,0,1,0,1,1,City View,"$20,000.00 "
0,0,0,0,1,0,The leaf condo,400,1,1,0,0,0,1,1,City View,"$7,111.11 "
0,0,0,0,1,0,The leaf condo,1150,3,2,0,1,0,1,1,City View,"$160,000.00 "
0,0,0,0,1,0,The leaf condo,1725,4,3,0,0,0,1,1,City View,"$211,111.11 "
0,0,0,0,1,0,The Leaf Condo,1250,3,5,1,0,1,1,1,City View,"$124,444.44 "
0,0,0,0,1,0,The Leaf Condo,1250,3,2,1,0,1,1,1,shwe dagon pagoda view,"$133,333.33 "
0,0,0,0,1,0,The Leaf Condo,1250,3,2,1,0,1,1,1,City View,"$51,111.11 "
0,0,0,0,1,0,The Leaf Condo,1250,3,3,1,0,1,1,1,City View,"$51,111.11 "
0,0,0,0,1,0,The Leaf Condo,1250,4,1,1,0,1,1,1,City View,"$1,488,888.89 "
0,0,0,0,1,0,The Leaf Condo,1250,3,2,1,0,1,1,1,City View,"$173,333.33 "
0,0,0,0,1,0,Ngwe Aein San,961,2,1,1,0,0,0,1,Lake View,"$7,111.11 "
0,1,0,0,0,0,16 th st Condo,1125,2,3,0,0,0,1,0,City View,"$115,555.56 "
0,1,0,0,0,0,Bahosi Condo ,1900,3,2,0,1,0,0,1,City View,"$110,888.89 "
0,1,0,0,0,0,Bahosi Condo ,1000,2,1,0,1,0,0,1,City View,"$66,666.67 "
0,1,0,0,0,0,Bar lann Condo,3000,3,3,0,0,0,1,1,City View,"$211,111.11 "
0,1,0,0,0,0,Bar lann Condo,1500,3,2,0,0,0,0,0,City View,"$137,777.78 "
